Variant,Serotype,Species
1,1,B. burgdorferi
2,1,B. burgdorferi
3,1,B. burgdorferi
4,1,B. burgdorferi
5,1,B. burgdorferi
6,1,B. burgdorferi
7,2,B. afzelii
8,2,B. afzelii
9,3,B. garinii
10,3,B. garinii
11,3,B. garinii
12,4,B. bavariensis
13,5,B. garinii
14,5,B. garinii
15,5,B. garinii
16,5,B. garinii
17,5,B. garinii
18,6,B. garinii
19,6,B. garinii
20,6,B. garinii
21,6,B. garinii
22,7,B. garinii
23,10,B. bavariensis
24,10,B. bavariensis
25,10,B. bavariensis
26,9,B. bavariensis
27,10,B. bavariensis
28,10,B. bavariensis
29,9,B. bavariensis
30,9,B. bavariensis
31,9,B. bavariensis
32,12,B. garinii
33,11,B. garinii
34,12,B. garinii
35,7,B. garinii
36,8,B. garinii
37,11,B. garinii
38,3,B. garinii
39,3,B. garinii
40,17,B. yangtzensis
41,18,B. americana
42,19,B. carolinensis
43,20,B. japonica
44,unk,B. californiensis
45,19,B. kurtenbachii
46,9,B. bavariensis
47,19,B. bissettiae
48,1,B. burgdorferi
49,11,B. garinii
50,14,B. mayonii
51,13,B. spielmanii
52,15,B. valaisiana
53,15,B. valaisiana
54,unk,B. chilensis
55,16,B. turdi
56,16,B. turdi
57,unk,B. maritama
58,3,B. garinii
59,5,B. garinii
60,6,B. garinii
61,2,B. afzelii
62,6,B. garinii
63,1,B. burgdorferi
64,3,B. garinii
65,2,B. afzelii
66,9,B. bavariensis
67,10,B. bavariensis
69,3,B. garinii
70,5,B. garinii
71,9,B. bavariensis
72,11,B. garinii
73,3,B. afzelii
74,2,B. afzelii
75,1,B. burgdorferi
76,1,B. burgdorferi
77,10,B. bavariensis
78,17,B. yangtzensis
79,6,B. garinii
80,3,B. garinii
81,6,B. garinii
82,15,B. valaisiana
83,6,B. garinii
84,5,B. garinii
85,10,B. garinii
86,16,B. valaisiana
87,14,B. finlandensis
88,7,B. garinii
89,6,B. garinii
90,unk,B. garinii
91,10,B. bavariensis
92,3,B. garinii
93,3,B. garinii
94,3,B. garinii
95,3,B. garinii
96,12,B. garinii
97,2,B. afzelii
98,6,B. garinii
99,18,B. americana
100,unk,B. andersonii
101,19,B. bissettiae
102,19,B. carolinensis
103,14,B. finlandensis
104,20,B. japonica
105,unk,B. lanei
106,unk,B. sinica
107,21,B. tanukii
107,21,B. tanukii
107,21,B. tanukii
108,22,B. turdi
109,22,B. turdi
110,15,B. valaisiana
111,16,B. valaisiana
112,17,B. yangtzensis
113,23,B. lusitaniae
114,23,B. lusitaniae
115,23,B. lusitaniae
116,16,B. valaisiana
117,unk,B. garinii
118,3,B. garinii
